Kepler ID	KOI	T_dur (h)	Depth	SNR	t0 (days)	e_t0	Peiod (days)	e_period	d/R_star	e_(d/R_star)	R_p/R_Star	e_(R_p/R_Star)	b	e_b	Radius_plan	a (AU)	Teq (K)	chi	Teff	log(g)	s_Rad	Kepmag	f_Teff
11446443	1.01	1.732	14224	5921	55.76257	1.00E-05	2.4706132	1.00E-07	8.41178	0.03785	0.12432	8.00E-05	0.822	0.035	14.42	0.036	1394	7.26	5814	4.38	1.06	11.338	2
10666592	2.01	3.8775	6686	4528.6	54.3578	2.00E-05	2.2047355	1.00E-07	4.681108	0.01712	0.07545	2.00E-05	0.1282	0.049	22.29	0.039	2303	2.78	6264	3.79	2.71	10.463	2
10748390	3.01	2.3684	4281	2086.3	57.81254	4.00E-05	4.8878002	6.00E-07	16.680767	0.93167	0.0577	3.70E-04	0.0286	0.217	4.67	0.052	794	13.35	4766	4.59	0.74	9.147	2
3861595	4.01	2.9278	1313	220.4	90.52592	3.70E-04	3.8493724	4.40E-06	4.481014	0.06554	0.04152	2.00E-04	0.9462	0.044	11.79	0.056	1923	1.51	6391	3.81	2.6	11.432	2
8554498	5.01	2.0117	944	338.1	65.97325	2.20E-04	4.7803288	3.00E-06	7.56042	0.43112	0.03651	2.60E-04	0.9507	0.066	5.65	0.058	1279	1.07	5861	4.19	1.42	11.665	3
8554498	5.02	3.6882	20	8.5	66.3669	1.50E-02	7.0518565	2.80E-04	9.797375	0.55868	0.00428	3.80E-04	0.7497	0.295	0.66	0.075	1124	1.4	5861	4.19	1.42	11.665	3
11853905	7.01	4.1109	740	277.7	56.61154	4.10E-04	3.2136641	4.20E-06	4.485987	0.06972	0.02692	7.00E-05	0.714	0.071	3.72	0.044	1386	1.35	5858	4.28	1.27	12.211	3
6922244	10.01	3.1984	9245	1503	54.1186	7.00E-05	3.5224991	7.00E-07	7.504738	0.18203	0.09328	1.80E-04	0.6396	0.1	15.88	0.047	1532	1.49	6025	4.11	1.56	13.563	3
5812701	12.01	7.4066	9271	898.6	79.59692	2.10E-04	17.8551483	1.00E-05	20.040346	0.31765	0.08805	1.10E-04	0.0298	0.108	13.23	0.144	876	2.47	6419	4.26	1.38	11.353	1
9941662	13.01	3.1666	4646	3609	53.56513	1.00E-05	1.7635877	1.00E-06	4.395695	1.70181	0.07799	2.00E-04	0.3475	0.316	22.77	0.037	3320	1.44	8848	3.94	2.68	9.958	1
10874614	17.01	3.6016	10596	2849	54.4858	4.00E-05	3.2346995	4.00E-07	7.528426	0.14814	0.09373	1.80E-04	0.0289	0.128	11.06	0.045	1260	4.93	5826	4.42	1.08	13	3
8191672	18.01	4.0811	7307	1833.8	55.90078	7.00E-05	3.5484657	7.00E-07	7.192263	0.10152	0.07871	8.00E-05	0.006	0.517	17.37	0.052	1733	2.4	6297	3.99	2.02	13.369	3
11804465	20.01	4.6714	16497	3287.8	104.00836	4.00E-05	4.437963	6.00E-07	8.132661	0.06407	0.11716	8.00E-05	0.0178	0.131	17.58	0.056	1314	2.8	6011	4.23	1.38	13.438	3
9631995	22.01	3.7932	10407	1607.3	110.24904	7.00E-05	7.8914504	1.60E-06	17.163408	0.60904	0.09282	2.60E-04	0.1723	0.153	11.26	0.081	976	1.1	5972	4.41	1.11	13.435	3
6521045	41.01	6.5383	231	98.5	55.95061	1.60E-03	12.8157358	5.30E-05	9.346466	0.18287	0.01544	1.00E-04	0.8031	0.071	2.08	0.111	869	1.2	5909	4.3	1.23	11	3
6521045	41.02	4.4764	76	36.8	66.1758	3.20E-03	6.8870993	6.20E-05	6.177925	0.12088	0.00918	1.60E-04	0.865	0.101	1.23	0.073	1071	1.24	5909	4.3	1.23	11	3
6521045	41.03	6.1426	92	23.2	86.98394	6.70E-03	35.3331413	6.30E-04	18.376942	0.35957	0.01042	3.00E-04	0.9201	0.097	1.4	0.218	620	1.2	5909	4.3	1.23	11	3
8866102	42.01	4.655	334	196	114.22232	5.80E-04	17.8343811	3.10E-05	19.421915	1.32739	0.01825	1.00E-04	0.7729	0.134	2.71	0.141	845	1.34	6170	4.24	1.36	9.364	3
8845026	44.01	19.738	12644	1217.1	93.47431	4.00E-04	66.4676971	7.60E-05	28.300972	0.04374	0.09983	6.00E-05	0.0032	0.365	9.88	0.313	412	5.23	5490	4.49	0.91	13.483	1
10905239	46.01	4.0237	1303	284.8	103.93149	3.70E-04	3.4876878	4.20E-06	4.784872	0.08257	0.03587	1.00E-04	0.7535	0.071	4.32	0.047	1233	1.3	5764	4.4	1.1	13.77	2
10905239	46.02	3.7909	58	9.7	65.51465	1.10E-02	6.029078	1.90E-04	6.892009	0.11893	0.00799	5.90E-04	0.8365	0.226	0.96	0.067	1032	1.2	5764	4.4	1.1	13.77	2
9527334	49.01	3.0819	828	100.2	108.99176	8.90E-04	8.3137598	2.20E-05	14.517501	3.95005	0.02845	1.10E-03	0.7504	0.401	3.24	0.083	926	1.43	5923	4.44	1.04	13.704	2
6056992	51.01	3.924	24413	448.7	66.93494	3.60E-04	10.4311628	8.90E-06	15.480892	0.21648	0.42555	1.70E-01	1.2063	0.788	20.93	0.072	358	2.5	3240	4.78	0.45	13.761	1
11554435	63.01	2.7726	4058	439.4	110.84231	2.00E-04	9.4341574	5.60E-06	26.250813	9.06149	0.05818	1.60E-03	0.3171	0.458	6.3	0.089	843	1.95	5721	4.47	0.99	11.582	3
7051180	64.01	1.8143	1170	110.2	90.54077	5.20E-04	1.9510914	4.00E-06	3.841402	0.73231	0.04015	9.30E-04	0.9366	0.136	5.12	0.03	1497	1.17	5439	4.27	1.17	13.143	3
3544595	69.01	2.934	271	243.6	67.92507	3.80E-04	4.726748	5.20E-06	9.820116	0.80966	0.01575	1.10E-04	0.6318	0.182	1.5	0.053	1000	1.17	5593	4.51	0.87	9.931	3
6850504	70.01	3.8004	1028	260.2	71.60748	4.40E-04	10.8540916	1.30E-05	18.984949	2.45357	0.0302	3.40E-04	0.5526	0.246	3.09	0.093	763	1.34	5443	4.45	0.94	12.498	3
6850504	70.02	2.4981	384	134.5	67.50026	6.10E-04	3.6961222	6.80E-06	9.257876	1.19647	0.01872	2.20E-04	0.6096	0.235	1.92	0.045	1097	1.3	5443	4.45	0.94	12.498	3
